timestamp,cpu_percent,memory_percent
1767496685.0231202,7.3,5.5
1767496686.0235646,0.2,5.5
1767496687.0239663,0.2,5.5
1767496688.024411,0.0,5.5
1767496689.0248523,0.2,5.5
1767496690.025278,0.2,5.5
1767496691.0256157,0.0,5.5
1767496692.026063,0.2,5.5
1767496693.0264928,0.0,5.5
1767496694.0269535,1.8,5.5
1767496695.0274124,0.2,5.5
1767496696.0277467,0.3,5.5
1767496697.0281024,0.0,5.5
1767496698.0285106,0.0,5.5
1767496699.0289345,0.5,5.5
1767496700.0293527,0.2,5.5
1767496701.029784,0.2,5.5
1767496702.0302687,0.3,5.5
1767496703.0306327,0.0,5.5
1767496704.031065,2.0,5.4
1767496705.031502,0.3,5.4
1767496706.0319004,0.0,5.4
1767496707.0323002,0.2,5.4
1767496708.032707,0.2,5.4
1767496709.0331402,0.2,5.4
1767496710.0335708,0.0,5.5
1767496711.0339797,0.7,5.5
1767496712.0344238,0.0,5.5
1767496713.0348394,0.5,5.5
1767496714.0352805,0.0,5.5
1767496715.035712,0.3,5.5
1767496716.0361826,0.0,5.5
1767496717.0366204,0.5,5.5
1767496718.037079,0.0,5.5
1767496719.0374868,0.2,5.5
1767496720.037899,0.3,5.5
1767496721.0383284,0.8,5.5
1767496722.0387218,0.2,5.5
1767496723.0391943,0.3,5.5
1767496724.0396218,0.0,5.5
1767496725.0401046,0.5,5.5
1767496726.0405583,0.2,5.5
1767496727.041026,0.3,5.5
1767496728.0414412,0.0,5.5
1767496729.0418472,0.3,5.5
1767496730.0422628,0.2,5.5
1767496731.0426946,0.3,5.5
1767496732.043182,0.0,5.5
1767496733.0436122,2.5,5.6
1767496734.043951,0.3,5.6
1767496735.0444283,0.2,5.6
1767496736.0448582,0.0,5.6
1767496737.045253,0.0,5.6
1767496738.0456536,0.3,5.6
1767496739.0461235,0.3,5.6
1767496740.0465524,0.2,5.6
1767496741.0469158,0.2,5.6
1767496742.0473397,0.0,5.6
1767496743.0477781,0.5,5.6
1767496744.048229,0.0,5.6
1767496745.0486295,0.5,5.6
1767496746.0491042,0.0,5.6
1767496747.0495698,0.0,5.6
1767496748.0500553,0.2,5.6
1767496749.0504916,0.3,5.6
1767496750.050864,0.2,5.6
1767496751.0512328,0.5,5.5
1767496752.0516644,0.0,5.5
1767496753.05214,0.8,5.5
1767496754.0525274,1.3,5.5
1767496755.0529692,0.0,5.5
1767496756.0534585,1.5,5.6
1767496757.053849,1.7,5.6
1767496758.0542543,1.3,5.6
1767496759.054692,1.7,5.6
1767496760.0551224,1.3,5.6
1767496761.055562,1.8,5.6
1767496762.0559456,1.5,5.6
1767496763.0564036,1.3,5.6
1767496764.0568173,1.5,5.6
1767496765.0572221,0.5,5.6
1767496766.0576255,0.5,5.6
1767496767.0580575,0.5,5.5
1767496768.058491,0.3,5.5
1767496769.0589054,0.2,5.5
1767496770.0593102,0.0,5.5
1767496771.0597174,1.0,5.5
1767496772.0601635,0.0,5.5
1767496773.0605962,0.7,5.5
1767496774.0610573,0.0,5.5
1767496775.0614996,0.3,5.5
1767496776.0619526,0.5,5.5
1767496777.0624113,0.0,5.5
1767496778.0628202,0.2,5.5
1767496779.0633159,0.3,5.5
1767496780.0637531,0.0,5.5
1767496781.0642438,0.5,5.5
1767496782.064675,0.0,5.5
1767496783.0651517,0.2,5.5
1767496784.065572,0.0,5.5
1767496785.0660646,0.5,5.5
1767496786.066508,0.0,5.5
1767496787.0669081,0.3,5.5
1767496788.0673347,0.2,5.5
1767496789.0677745,0.2,5.5
1767496790.0682185,0.0,5.5
1767496791.0686407,0.5,5.5
1767496792.0691063,0.0,5.5
1767496793.069491,0.5,5.5
1767496794.0699174,0.3,5.5
1767496795.070359,0.0,5.5
1767496796.0708213,0.2,5.5
1767496797.0712845,0.5,5.5
1767496798.0716867,0.0,5.5
1767496799.0721574,0.3,5.5
1767496800.0725932,0.2,5.5
1767496801.0730662,0.3,5.5
1767496802.073509,0.3,5.5
1767496803.0739372,0.5,5.5
1767496804.074337,0.0,5.5
1767496805.074778,10.5,5.6
1767496806.075157,0.2,5.6
1767496807.0755851,0.3,5.6
1767496808.0759554,0.5,5.6
1767496809.0763578,0.3,5.6
1767496810.0767848,0.3,5.6
1767496811.0772123,0.8,5.6
1767496812.0776153,0.0,5.6
1767496813.07795,1.3,5.6
1767496814.0783489,1.0,5.6
1767496815.0787804,0.3,5.6
1767496816.0792391,0.7,5.6
1767496817.0796342,0.3,5.6
1767496818.0801127,0.3,5.6
1767496819.0805478,0.5,5.6
1767496820.0809677,0.7,5.6
1767496821.0814774,0.3,5.6
1767496822.0818813,0.3,5.6
1767496823.0822828,0.7,5.6
1767496824.0826778,0.0,5.6
1767496825.0831473,0.2,5.6
1767496826.0835812,0.3,5.6
1767496827.0839493,0.2,5.6
1767496828.0843866,0.5,5.6
1767496829.0847833,0.3,5.6
1767496830.0851882,0.3,5.6
1767496831.0855844,2.5,5.6
1767496832.0860486,0.5,5.6
1767496833.086467,0.3,5.6
1767496834.0868068,0.0,5.6
1767496835.0872433,0.7,5.6
1767496836.087762,0.0,5.6
1767496837.0882258,0.2,5.6
1767496838.0886533,0.5,5.6
1767496839.0891073,0.5,5.6
1767496840.0895412,0.3,5.6
1767496841.0900514,0.3,5.6
1767496842.0904875,0.5,5.6
1767496843.0908766,0.3,5.6
1767496844.091267,0.2,5.6
1767496845.091696,0.3,5.6
1767496846.0921633,0.5,5.6
1767496847.0925663,0.5,5.6
1767496848.0929708,0.0,5.6
1767496849.093386,0.3,5.6
1767496850.0937858,0.2,5.6
1767496851.0942547,0.5,5.6
1767496852.0946822,0.3,5.6
1767496853.0951324,0.3,5.6
1767496854.0955062,0.3,5.6
1767496855.0958912,0.7,5.6
1767496856.0963068,0.0,5.6
1767496857.0966935,0.5,5.6
1767496858.0971563,0.3,5.6
1767496859.0975688,0.5,5.6
1767496860.0979779,0.3,5.6
1767496861.0983784,0.5,5.6
1767496862.0987763,0.2,5.6
1767496863.0992215,0.5,5.6
1767496864.0996208,0.3,5.6
